Date,Open,High,Low,Close,Adj Close,Volume
2013-04-03,3.065000057220459,3.0824999809265137,3.009999990463257,3.032500028610229,2.816972494125366,35315600
2018-01-30,60.27750015258789,61.60499954223633,59.602500915527344,60.68000030517578,60.04113006591797,57083200
2018-12-11,38.88999938964844,38.97249984741211,36.25,37.04750061035156,36.759727478027344,67191200
2015-07-10,4.914999961853027,4.982500076293945,4.902500152587891,4.9375,4.781865119934082,21670800
2000-03-10,2.197916984558105,3.0208330154418945,2.182291984558105,2.4583330154418945,2.2551400661468506,216120000
2017-06-21,39.5525016784668,39.90499877929688,38.92499923706055,39.86750030517578,39.38569259643555,68265200
2009-07-31,3.220000028610229,3.2774999141693115,3.1449999809265137,3.2325000762939453,2.965318202972412,54156000
2020-09-17,121.32250213623048,125.89749908447266,120.34750366210938,124.63500213623048,124.3179931640625,79251200
2006-09-05,4.663332939147949,4.768332958221436,4.59499979019165,4.75,4.357388973236084,54935400
2010-03-10,4.375,4.445000171661377,4.372499942779541,4.397500038146973,4.0340256690979,41852000
2003-05-21,1.6841670274734497,1.7433329820632937,1.6749999523162842,1.7424999475479126,1.598474144935608,90547200
2023-10-30,410.8699951171875,417.6600036621094,404.80999755859375,411.6099853515625,411.5737915039063,38802800
2015-04-20,5.574999809265137,5.610000133514404,5.512499809265137,5.522500038146973,5.323781490325928,23162400
2012-01-19,3.525000095367432,3.5924999713897705,3.487499952316284,3.587500095367432,3.290976047515869,60831200
2016-02-09,6.230000019073486,6.637499809265137,6.199999809265137,6.372499942779541,6.221131801605225,42537200
2001-02-14,1.828125,2.041666984558105,1.75,1.9869790077209477,1.822745442390442,69088800
2010-03-08,4.295000076293945,4.307499885559082,4.212500095367432,4.230000019073486,3.880369663238525,43931200
2003-06-25,1.9041670560836792,1.9816670417785645,1.896667003631592,1.911666989326477,1.7536582946777344,106062000
1999-04-19,0.4192709922790527,0.4192709922790527,0.390625,0.3958329856395721,0.3631155490875244,3129600
2011-10-10,3.5975000858306885,3.694999933242798,3.5899999141693115,3.694999933242798,3.3895907402038574,53437600
2015-08-19,5.762499809265137,5.827499866485596,5.684999942779541,5.747499942779541,5.589754104614258,24924800
2022-09-16,127.41999816894533,132.1199951171875,126.16999816894533,131.97999572753906,131.88772583007812,67075100
2005-08-12,2.492500066757202,2.5174999237060547,2.407500028610229,2.495832920074463,2.2895400524139404,229542000
2014-10-17,4.414999961853027,4.465000152587891,4.337500095367432,4.355000019073486,4.164565086364746,29071600
2012-08-09,3.5625,3.684999942779541,3.557499885559082,3.677500009536743,3.3735368251800537,82230000
2020-12-18,133.7899932861328,134.0500030517578,130.7050018310547,132.72000122070312,132.42153930664062,34206400
